,Step,Notification Title,Description,CTA,Notification Trigger,Email notification,In app notification
✅,1 - Shooting,Are shooting negatives ready for drop-off?,Have the negatives been picked up and prepared for delivery to the lab?,Confirm pickup,before:shooting_end:30m,Producer,Producer
✅,2 - Negatives drop off,Upcoming negatives drop-off,Negatives are on their way to the lab. Get ready and confirm that everything is ready to receive them.,Confirm drop-off,on:negatives_pickup_marked,Lab,Lab
✅,2 - Negatives drop off,Have negatives been dropped off?,Please confirm whether the negatives have already been delivered to the lab.,Confirm drop-off,if:negatives_not_confirmed after:dropoff_deadline:2h,"Lab, Producer","Lab, Producer"
✅,2 - Negatives drop off,Drop-off delayed for collection [ID],The collection is delayed compared to the original plan. Please coordinate with the lab to review timings and possible rush options.,-,on:dropoff_deadline_missed,Producer,Producer
✅,3 - Low-res scanning,Scanning deadline at risk,The scanning deadline is approaching. Please confirm whether scanning will be completed on time.,Upload low-res,before:scanning_deadline:1h,Lab,Producer
✅,3 - Low-res scanning,Scanning completed,Low-resolution scans are ready. Please review them and prepare the selection for the client.,Review low-res,on:scanning_completed,"Photographer, Producer","Photographer, Producer"
✅,3 - Low-res scanning,Low-res scanning delayed for collection [ID],The collection is delayed. Please align with the photographer and review updated timelines or rush options.,-,on:scanning_deadline_missed,Producer,Producer
✅,4 - Photographer selection,Photographer selection at risk,The deadline to upload the photographer’s selection is approaching. Please confirm that the selection is ready.,Upload selection,before:photographer_selection_deadline:1h,"Photographer, Producer","Photographer, Producer"
✅,4 - Photographer selection,Selection shared with client,The photographer has shared a first image selection with the client for review.,Review selection,on:photographer_selection_shared,Client,Client
✅,4 - Photographer selection,Photographer selection delayed for collection [ID],The collection is delayed. Please coordinate with the client and photographer to update the timeline.,-,on:photographer_selection_deadline_missed,Producer,Producer
✅,5 - Client selection,Client selection reminder,Please complete the final image selection before the deadline.,Upload final selection,first time in the morning: reminder,Client,Client
✅,5 - Client selection,Client selection reminder,Please complete the final image selection before the deadline.,Upload final selection,if not completed: 1 hour before deadline,"Client, Producer","Client, Producer"
✅,5 - Client selection,Client final selection submitted,The client has submitted the final image selection. Review it and proceed with high-resolution processing.,Review client selection,on:client_selection_confirmed,"Hand Print Lab, Photographer","Hand Print Lab, Photographer"
✅,6 - Hand print high-res,High-resolution delivery at risk,The deadline for high-resolution images is approaching. Please confirm progress with the lab.,Check HR,before:highres_deadline:1h,"Hand Print Lab, Producer","Hand Print Lab, Producer"
✅,6 - Hand print high-res,High-res delayed for collection [ID],High-resolution delivery is delayed. Please coordinate with the lab to adjust timings.,-,on:highres_deadline_missed,Producer,Producer
✅,6 - Hand print high-res,High-res ready for review,High-resolution images are ready. Please review them and leave any comments if needed.,Check HR,on:highres_ready,"Photographer, Producer","Photographer, Producer"
✅,7 - Edition request,Edition request ready – start edits,All comments and instructions are ready. Please proceed with the requested edits.,Start edits,on:edition_request_submitted,Edition Studio,Edition Studio
✅,7 - Edition request,Edition request delayed for collection [ID],The collection is delayed. Please coordinate with the edition studio to update timelines.,-,on:edition_request_deadline_missed,Producer,Producer
✅,7 - Edition request,Edits completion check,Only 1 hour remains before moving to the final review. Please confirm whether edits are completed.,-,before:final_edits_deadline:1h,Edition Studio,Edition Studio
✅,8 - Final edits,Edits completed,Edits are complete. Please review them and prepare to share the final images with the client.,Review edits,on:final_edits_completed,"Photographer, Producer","Photographer, Producer"
✅,8 - Final edits,Final edits delayed for collection [ID],Final edits are delayed. Please review the situation and update the timeline accordingly.,-,after:final_edits_deadline:1h,Producer,Producer
✅,9 - Photographer last check,Photographer review reminder,Please review and approve the edited images before the deadline.,-,before:photographer_review_deadline:1h,Photographer,Photographer
✅,9 - Photographer last check,Edits approved by photographer,"The photographer has approved the final edits. Finals are ready, check now!",Share with client,on:photographer_edits_approved,"Client, Producer","Client, Producer"
✅,9 - Photographer last check,Photographer review delayed for collection [ID],The final review is delayed. Please align on next steps and update the timeline.,-,on:photographer_review_deadline_missed,Producer,Producer
