id,code,step,step_name,title,description,cta_text,cta_url_template,trigger_type,trigger_event,trigger_offset_minutes,trigger_condition,email_recipients,inapp_recipients,is_active,created_at,updated_at,email_subject
fe9ebcdf–e2d8–4b0c–8b75–258c6096db5d,shooting_pickup_reminder,1,Shooting,Are shooting negatives ready for drop–off?,Have the negatives been picked up and prepared for delivery to the lab?,Confirm pickup,/collections/{collectionId}?step=shooting,before,shooting_end,–30,null,{producer},{},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,📋 Shooting pickup reminder – {collectionName} by {clientName} – {photographerName}
e35608a9–a972–4fb7–bb1b–d2df54f1fea0,dropoff_upcoming,2,Negatives drop off,Upcoming negatives drop–off,Negatives are on their way to the lab. Get ready and confirm that everything is ready to receive them.,Confirm drop–off,/collections/{collectionId}?step=negatives_dropoff,on,negatives_pickup_marked,0,null,{photo_lab},{photo_lab},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,📦 Negatives drop–off upcoming – {collectionName} by {clientName} – {photographerName}
b751cbcc–c8b0–48df–9e05–9ad2aabbda8f,dropoff_confirmation_reminder,2,Negatives drop off,Have negatives been dropped off?,Confirm whether the negatives have already been delivered to the lab.,Confirm drop–off,/collections/{collectionId}?step=negatives_dropoff,if,dropoff_deadline,60,negatives_not_confirmed,{photo_lab},{photo_lab},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,📦 Negatives drop–off reminder – {collectionName} by {clientName} – {photographerName}
df93eb58–b5d8–4a07–b272–68e65ab27335,dropoff_delayed,2,Negatives drop off,Drop–off delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check collection,/collections/{collectionId}?step=negatives_dropoff,on,dropoff_deadline_missed,0,null,{producer},"{producer,photo_lab}",TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Negatives drop off delayed – {collectionName} by {clientName} – {photographerName}
ca50f22a–a8ba–42c3–8572–c51f3104776a,scanning_deadline_risk,3,Low–res scanning,Upload low–res to share with photographer,The scanning deadline is approaching. Confirm whether scanning will be completed on time.,Upload low–res,/collections/{collectionId}?step=low_res_scanning,before,scanning_deadline,–60,null,{photo_lab},{photo_lab},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Low–res scanning at risk – {collectionName} by {clientName} – {photographerName}
d10e1bf5–4043–4cde–84af–d41aa9a4cc09,scanning_completed,3,Low–res scanning,Low–resolution scans are ready,Download low–res scans review them and share your selection with the client.,Review low–res,/collections/{collectionId}?step=low_res_scanning,on,scanning_completed,0,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,✅ Low–res scanning ready – {collectionName} by {clientName} – {photographerName}
fab8ea6d–b508–4476–a90d–5abc295f3d61,lab_shared_additional_materials,3,Low–res scanning,{Photo_labName} has shared an additional link,{commentorName} uploaded a new link. Review photos and prepare your selection.,Review low–res,/collections/{collectionId}?step=low_res_scanning,on,lab_shared_additional_materials,0,null,{photographer},{photographer,TRUE,2026–02–25 20:09:43.324141+00,2026–03–09 19:05:22.295046+00,🆕 Low–res scanning new link shared – {collectionName} by {clientName} – {photographerName}
a8e3c1ac–bbf7–4105–9809–2253cbd21358,scanning_delayed,3,Low–res scanning,Low–res scans delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check collection,/collections/{collectionId}?step=low_res_scanning,on,scanning_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Low–res scanning delayed – {collectionName} by {clientName} – {photographerName}
98d51198–d898–4b5c–ac50–3c6da2532a4f,photographer_selection_uploaded,4,Photographer selection,Photographer has shared shooting photos ,The photographer selection is ready. It is now available for the client to review.,Review photos,/collections/{collectionId}?step=photographer_selection,on,photographer_selection_uploaded,0,null,{client},{client},TRUE,2026–02–25 07:43:21.236049+00,2026–03–09 19:05:22.295046+00,✅ Photographer selection ready – {collectionName} by {clientName} – {photographerName}
ce9cfdb9–bb09–4b3a–844f–c336ca6c1141,photographer_selection_risk,4,Photographer selection,Photographer selection at risk,Deadline to upload the photographer’s selection is approaching. Confirm your selection is ready.,Upload selection,/collections/{collectionId}?step=photographer_selection,before,photographer_selection_deadline,–60,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Photographer selection at risk – {collectionName} by {clientName} – {photographerName}
